zipcode,death_rate_cumulative
60603,0.0
60604,0.0
60609,188.6
60612,157.4
60611,33.9
60613,79.8
60614,116.4
60615,60.1
60616,128.5
60617,144.2
60618,98.5
60619,168.1
60628,257.8
60624,160.4
60620,171.8
60629,178.8
60630,174.4
60621,230.7
60626,287.6
60622,125.0
60632,179.0
60636,257.7
60623,257.0
60640,182.2
60642,99.0
60643,212.6
60645,186.5
60625,195.6
60633,93.2
60634,152.6
60649,308.5
60651,178.7
60652,186.8
60657,60.0
60659,175.3
60660,136.4
60637,99.0
60639,213.2
60610,64.1
60638,163.3
60607,16.9
60646,196.5
60641,133.8
60644,222.2
60656,126.9
60647,147.4
60631,254.0
60661,10.1
60653,162.6
60707,76.7
60654,31.4
60601,68.1
60655,107.6
60827,38.5
60606,32.2
60602,80.4
60666,0.0
60605,32.7
60608,151.5
